Date,Max_Temperature_Forecast,Min_Temperature_Forecast,Avg_Temperature_Forecast,Actual_Max_Temp,Actual_Min_Temp,Actual_Avg_Temp
2025-12-01,1.8002651639710123,-2.922096989233941,-0.535863867073421,6.4,2.1,4.25
2025-12-02,1.6717554142758448,-3.0613394526284585,-0.6697363197521797,7.0,2.6,4.8
2025-12-03,1.7969589758513695,-3.034381471769625,-0.5935023344549881,5.4,4.3,4.85
2025-12-04,1.800721744589259,-2.81438383650058,-0.4814614713592515,4.9,2.3,3.6
2025-12-05,1.7541681346446083,-2.863968042122829,-0.5293642104629575,5.3,2.8,4.05
2025-12-06,1.9394368626253249,-2.900541901387067,-0.4548564870468912,5.8,4.8,5.3
2025-12-07,1.885337704486595,-2.9223026036330824,-0.4926275876066288,4.9,3.0,3.95
2025-12-08,1.8412144040682443,-2.8794224196627,-0.4930997718410381,4.2,2.5,3.35
2025-12-09,1.8905414505442124,-2.8301477226956084,-0.4438093162990144,7.5,3.9,5.7
2025-12-10,2.173687050480956,-2.637185926613832,-0.2056401746210081,8.0,0.2,4.1
2025-12-11,2.3117884508900826,-2.277906957040836,0.043148424018736,8.6,4.3,6.449999999999999
2025-12-12,2.372813027039115,-2.218518119474029,0.1034343253307792,4.3,-5.7,-0.7000000000000002
2025-12-13,2.6363799442766247,-2.1792911724342026,0.2548801447153277,0.0,-6.5,-3.25
2025-12-14,2.629486767636516,-2.1604845179414545,0.2608607410551711,1.8,-1.3,0.25
2025-12-15,2.60042422228258,-2.1134679985945,0.2698299701737188,7.0,1.6,4.3
2025-12-16,2.6324053227496496,-2.096782747751668,0.2939753845160302,7.2,5.8,6.5
2025-12-17,2.8663402176511745,-1.9725119038433292,0.4729985899292916,7.2,5.4,6.300000000000001
2025-12-18,2.924702476967946,-1.7164894112439728,0.6300794204442104,7.3,0.7,4.0
2025-12-19,2.8775603705370845,-1.7925057555070056,0.568357894671661,6.6,5.1,5.85
2025-12-20,3.007348644671298,-1.9175887978599333,0.5705300209393602,7.8,6.1,6.949999999999999
2025-12-21,2.844526414282054,-2.088001365236667,0.4037031371040758,6.7,1.5,4.1
2025-12-22,2.641406130999611,-2.2504612466607425,0.2206720854219179,2.1,-5.2,-1.55
2025-12-23,2.485682070024744,-2.4583136681905544,0.038467190527867,-4.4,-6.4,-5.4
2025-12-24,2.523092314907526,-2.5680292087578094,0.0020144941251416,-0.3,-5.2,-2.75
2025-12-25,2.3811629366776224,-2.549551130817,-0.0600304815932544,6.9,-0.4,3.25
2025-12-26,2.135111141384744,-2.8606474111473608,-0.3389380819738985,6.3,0.8,3.55
2025-12-27,2.072486286820455,-3.212341854949726,-0.5464493222245697,4.2,0.8,2.5
2025-12-28,1.7286978553111574,-3.5950620494301653,-0.9100607711312936,2.1,-2.2,-0.050000000000000044
2025-12-29,1.3607187934018672,-3.95000589382794,-1.2718845316663776,2.2,-3.5,-0.6499999999999999
2025-12-30,1.0604959977665305,-4.325452955542188,-1.610228769011231,-2.9,-6.8,-4.85
